Word,Category
monorail,two
opposite,two
optometrist,two
Oregon,two
organism,two
pamphlet,two
pentathlete,two
perimeter,two
permit,two
persnickety,two
pheasants,two
piñata,two
piteously,two
Polaroid,two
precedent,two
predecessor,two
prejudice,two
proclaim,two
property,two
puffy,two
quail,two
rebuttal,two
regolith,two
reinstate,two
relief,two
rendezvous,two
reservoir,two
ridiculous,two
rigid,two
romerillo,two
salamanders,two
salary,two
schnauzer,two
segregation,two
Senegal,two
singularity,two
snarkiness,two
sniffling,two
solidarity,two
sorceress,two
sputnik,two
staccato,two
stragglers,two
suggested,two
suspension,two
synthetic,two
territory,two
thimble,two
tiptoed,two
tissues,two
tortillas,two
tractor,two
truant,two
versus,two
warrior,two
wetlands,two
woven,two
a cappella,three
acolyte,three
Addis Ababa,three
affinities,three
alabaster,three
alleviate,three
Amharic,three
ampulla,three
annelids,three
Aphrodite,three
apologetic,three
appetizing,three
approximation,three
arachnid,three
arsonist,three
arugula,three
assemblage,three
asymmetric,three
auditory,three
authority,three
Bildungsroman,three
bioluminescence,three
blithely,three
bogong moth,three
brazier,three
burnished,three
butane,three
calibrate,three
canter,three
Cappadocia,three
cataract,three
censers,three
cerulean,three
chickadee,three
chitinous,three
comprehensible,three
conflagration,three
conspicuous,three
consulate,three
credenza,three
crocheted,three
cuisine,three
cul-de-sac,three
curriculum,three
decisively,three
Delaware,three
despondent,three
diffidence,three
diplomatically,three
doberman,three
dominion,three
echolocation,three
éclair,three
electrolytes,three
embankment,three
embodiment,three
endothermy,three
enigmatic,three
eponymous,three
Eritrea,three
euphemism,three
eureka,three
finesse,three
foliage,three
forsythia,three
frankincense,three
frequency,three
gauntlets,three
generator,three
generosity,three
Gloucester,three
glycerin,three
hemisphere,three
hypothesis,three
imperial,three
inanimate,three
inaugurate,three
increments,three
influenza,three
innocuous,three
irascibility,three
irrelevant,three
juniper,three
kerosene,three
Krio,three
lactobacillus,three
lapels,three
legation,three
lemmings,three
leprosy,three
mayonnaise,three
mewling,three
modish,three
mortar,three
mysticetes,three
neurological,three
newt,three
odorant,three
ototoxic,three
palazzo,three
panoramic,three
pathologically,three
Pennsylvania,three
perpendicular,three
persistent,three
phantasmal,three
phenomenon,three
porpoises,three
preconception,three
Presbyterian,three
procession,three
propeller,three
prosciutto,three
prospective,three
protectorate,three
psychological,three
pulmonary,three
quiche,three
quizzically,three
reassurance,three
reluctance,three
salicylic acid,three
sauntered,three
saxophone,three
self-sufficient,three
seminal,three
sensilla,three
sentinels,three
settee,three
shar-pei,three
Sierra Leone,three
solenodon,three
spes phthisica,three
sputum,three
stomatopods,three
subscription,three
tenuous,three
thermotaxis,three
thrummed,three
torrential,three
trenchant,three
trichobothria,three
Tripoli,three
unconscious,three
undulating,three
unrelenting,three
vibrissae,three
vibrometer,three
wallowing,three
yakuza,three
